North Tyneside,430966.338722057,570503.93105018
North East Lincolnshire,523827.225929678,406879.282687281
Hackney,534370.355237623,185486.107330587
Central Bedfordshire,507430.327833825,235397.875184377
Derby,435849.806221618,335145.364391398
Leicester,459074.587874826,304818.653257458
Sunderland,435260.560374251,554097.899262715
Enfield,532423.16727293,196420.692190583
Northumberland,395883.534066106,594140.482424471
Leeds,432614.119449974,436721.111465706
Cheshire East,376709.600993487,364853.950879653
Rotherham,447552.245905676,390436.784010095
Bedford,504204.72764882,255641.513903824
East Riding of Yorkshire,499910.269760794,442343.347608046
East Sussex,560023.964613091,118243.205971449
Leicestershire,460027.895479533,308130.913258658
Worcestershire,388549.746544803,258384.717128415
Redbridge,543914.554028897,189463.556770086
Walsall,402375.570131362,300163.978420457
Hillingdon,507889.558355848,183653.114073921
Norfolk,599382.671007767,312688.469638307
Croydon,533289.66491522,163541.401190727
York,461681.008697263,451811.24738612
Tower Hamlets,536467.953958806,181475.886717867
West Berkshire,448431.998756661,172522.95437724
Southend-on-Sea,589326.71657624,185662.097742853
Bristol,346537.343559093,172922.912538162
Dorset,377364.776195277,100708.249245832
Wakefield,438967.326048431,418403.09141321
Solihull,418659.75076242,279492.33026031
